# REFERENCE ONLY - do NOT pass this file to Invoke-QuotaRecon.ps1.
# Regenerate with tools/New-QRReferences.ps1 whenever Azure adds regions.
# Source: GET /subscriptions/{id}/locations?api-version=2022-12-01
"ArmName","DisplayName","PhysicalZonesSupported"
"asia","Asia",""
"asiapacific","Asia Pacific",""
"australia","Australia",""
"australiacentral","Australia Central",""
"australiacentral2","Australia Central 2",""
"australiaeast","Australia East","1=australiaeast-az1;2=australiaeast-az3;3=australiaeast-az2"
"australiasoutheast","Australia Southeast",""
"austria","Austria",""
"austriaeast","Austria East","1=austriaeast-az1;2=austriaeast-az3;3=austriaeast-az2"
"belgium","Belgium",""
"belgiumcentral","Belgium Central","1=belgiumcentral-az1;2=belgiumcentral-az3;3=belgiumcentral-az2"
"brazil","Brazil",""
"brazilsouth","Brazil South","1=brazilsouth-az1;2=brazilsouth-az3;3=brazilsouth-az2"
"brazilsoutheast","Brazil Southeast",""
"canada","Canada",""
"canadacentral","Canada Central","1=canadacentral-az1;2=canadacentral-az3;3=canadacentral-az2"
"canadaeast","Canada East",""
"centralindia","Central India","1=centralindia-az1;2=centralindia-az3;3=centralindia-az2"
"centralus","Central US","1=centralus-az1;2=centralus-az3;3=centralus-az2"
"centraluseuap","Central US EUAP",""
"centralusstage","Central US (Stage)",""
"chile","Chile",""
"chilecentral","Chile Central","1=chilecentral-az1;2=chilecentral-az3;3=chilecentral-az2"
"denmark","Denmark",""
"denmarkeast","Denmark East","1=denmarkeast-az1;2=denmarkeast-az3;3=denmarkeast-az2"
"eastasia","East Asia","1=eastasia-az1;2=eastasia-az3;3=eastasia-az2"
"eastasiastage","East Asia (Stage)",""
"eastus","East US","1=eastus-az1;2=eastus-az3;3=eastus-az2"
"eastus2","East US 2","1=eastus2-az1;2=eastus2-az3;3=eastus2-az2"
"eastus2euap","East US 2 EUAP","1=eastus2euap-az1;2=eastus2euap-az3;3=eastus2euap-az2;4=eastus2euap-az4"
"eastus2stage","East US 2 (Stage)",""
"eastusstage","East US (Stage)",""
"eastusstg","East US STG",""
"europe","Europe",""
"finland","Finland",""
"france","France",""
"francecentral","France Central","1=francecentral-az1;2=francecentral-az3;3=francecentral-az2"
"francesouth","France South",""
"germany","Germany",""
"germanynorth","Germany North",""
"germanywestcentral","Germany West Central","1=germanywestcentral-az1;2=germanywestcentral-az3;3=germanywestcentral-az2"
"global","Global",""
"india","India",""
"indiasouthcentral","India South Central","1=indiasouthcentral-az1;2=indiasouthcentral-az3;3=indiasouthcentral-az2"
"indonesia","Indonesia",""
"indonesiacentral","Indonesia Central","1=indonesiacentral-az1;2=indonesiacentral-az3;3=indonesiacentral-az2"
"israel","Israel",""
"israelcentral","Israel Central","1=israelcentral-az1;2=israelcentral-az3;3=israelcentral-az2"
"italy","Italy",""
"italynorth","Italy North","1=italynorth-az1;2=italynorth-az3;3=italynorth-az2"
"japan","Japan",""
"japaneast","Japan East","1=japaneast-az1;2=japaneast-az3;3=japaneast-az2"
"japanwest","Japan West","1=japanwest-az1;2=japanwest-az3;3=japanwest-az2"
"jioindiacentral","Jio India Central",""
"jioindiawest","Jio India West",""
"korea","Korea",""
"koreacentral","Korea Central","1=koreacentral-az1;2=koreacentral-az3;3=koreacentral-az2"
"koreasouth","Korea South",""
"malaysia","Malaysia",""
"malaysiawest","Malaysia West","1=malaysiawest-az1;2=malaysiawest-az3;3=malaysiawest-az2"
"mexico","Mexico",""
"mexicocentral","Mexico Central","1=mexicocentral-az1;2=mexicocentral-az3;3=mexicocentral-az2"
"newzealand","New Zealand",""
"newzealandnorth","New Zealand North","1=newzealandnorth-az1;2=newzealandnorth-az3;3=newzealandnorth-az2"
"northcentralus","North Central US",""
"northcentralusstage","North Central US (Stage)",""
